Title_of_the_Review,Review_of_the_movie
1 hr of great martial arts then 1hr of rubbish,"Shang Chi what can I say other than the first hour was enjoyable with the whole backstory of the two siblings and the origins of the ten rings and its rival clan, the martial arts was also great.....but then it did what I was afraid it would do in the 2nd half of the movie and that was become a poor version and knock off of crouching tiger hidden, with silly wire work and theatrics that makes it out of place that it was like two different movies got cut and stitched together."
Average,"I really liked the actors they casted for this movie but I felt they did not focus enough on developing the characters rather than just throwing a bunch of CGI at you. The CGI was some of the best I've seen don't get me wrong, but it heavily shadowed the most important part of any movie: the plot. More time needed to be put into that aspect and the amazing Marvel CGI will follow. Seems to be a trend with some Marvel movies, just making it really boring when you go deeper than surface level."
excellent for a marvel movie,I dont enjoy marvel movies anymore but this plot was enjoyable since it wasnt as predictable.
Good story 👍,Shang chi and the legend of ten rings i good can help Marvel's 4th phase to get better.
Bland paint by numbers,Typical bland crap from Marvel. Generic and paint by numbers. This movie does nothing to be special. It was boring and honestly exactly what you should expect from Marvel at this point.
Movie made for martial arts fans and Chinese,"To clear out the reviews fight. I believe that the situation is like this:

If you love martial arts you will love this film. If you are Chinese you will probably like it, and even more if you live outside China.

If you are a huge Marvell fan you will like this movie or at least tolerate it.

All the rest will probably be disappointed.

It is still a Marvell film, and the quality is good. The story is less good, and at many points loses any common sense even for a ""superheroes"" movies that initially lack any sense. Marvell could do better at least with the story."
Beautiful!,"I just simply love how beautiful this movie is! The actions, the visual, everything!"
A total frustration,"Marvel productions are anything but boring. The film had good representation of the Chinese culture and good visuals, but the plot was very indirect, full of gaps and unexplained things, shallow characterising. It's a certain thing until it turns out to be something else the next second. Quick shifts in the plot. A bit of forced comedy too, and the lack of interesting hooks. This is a Marvel disappointment."
The Marvel formula done right,"An incredible MCU film. It offers nothing too cerebral, but that is not the main focus of the film. The comedy, the action, the themes, the choreography and the vibrant visuals make this film a standout among similar standalone Marvel films, while the layered and truly epic soundtrack is the finishing touch. While some of the effects and the pacing perhaps could have been a little more polished, and the final battle had some weaknesses, this is a colourful, emotional and fun rollercoaster of a film. Tony Leung is by far the standout member of the cast, delivering a captivating and even sympathetic villain. Simu Liu holds his own, but needs more time to really shine as a new Marvel superhero-while Meng'er Zhang, Awkwafina and Fala Chen are integral to this film's effectiveness. Overall, this fun and touching movie is an exemplar of the 'Marvel formula' and its strengths."
An below average marvel film,"This film had some very funny and unique moments in it, but overall I think the story was quite weak and there weren't any moments where I was fully into the movie. I think sequels could have good potential but I left the cinema without much excitement. Don't get me wrong it's a good movie but there are so many marvel films that top this one in storyline and character developed ect. I think 6 is a reasonable score I would give 6.5 if this were an option but 7 is a bit generous. Don't believe these 10/10 reviews. 10 is reserved for cinematic masterpieces like the dark night or infinity war."
A bright start to the new phase of Marvel Studios!,"Marvel has started its new era, which will be interesting for their old fans and will attract the attention of new audience. The film's director, Deston Creton, did a good job. Perfectly selected cast of actors who have done their tasks for 100%. They understand their characters and clearly convey their emotions. Gorgeous costumes and Joel West's soundtracks, with Chinese motives, aptly create an atmosphere of a magical world we haven't seen before. I won't say anything bad about the script either. I didn't mantion any plot holes, and the bonus was good jokes and a touching and sometimes tragic family story. Bill Pope's balanced shots and amazing special effects, which have definitely reached a new level, also go to the film's pluses. A special tribute to the director of the fights Andy Chang. Clear movements and dynamic music make such scenes a real spectacle. This film is worth your attention.

My rating is 8.5 / 10."
